"","community","population"
"1","ALBANY PARK",51542
"2","ARCHER HEIGHTS",13363
"3","ARMOUR SQUARE",13443
"4","ASHBURN",41081
"5","AUBURN GRESHAM",48743
"6","AUSTIN",98514
"7","AVALON PARK",10148
"8","AVONDALE",39262
"9","BELMONT CRAGIN",78684
"10","BEVERLY",20034
"11","BRIDGEPORT",31925
"12","BRIGHTON PARK",45368
"13","BURNSIDE",2916
"14","CALUMET HEIGHTS",13812
"15","CHATHAM",31065
"16","CHICAGO LAWN",55628
"17","CLEARING",23139
"18","DOUGLAS",18238
"19","DUNNING",41932
"20","EAST GARFIELD PARK",20559
"21","EAST SIDE",23014
"22","EDGEWATER",56521
"23","EDISON PARK",11101
"24","ENGLEWOOD",30654
"25","FOREST GLEN",18508
"26","FULLER PARK",2942
"27","GAGE PARK",39894
"28","GARFIELD RIDGE",34513
"29","GRAND BOULEVARD",21929
"30","GREATER GRAND CROSSING",32602
"31","HEGEWISCH",9454
"32","HERMOSA",25010
"33","HUMBOLDT PARK",56323
"34","HYDE PARK",25681
"35","IRVING PARK",53359
"36","JEFFERSON PARK",25448
"37","KENWOOD",17841
"38","LAKE VIEW",7812
"39","LINCOLN PARK",7333
"40","LINCOLN SQUARE",2391
"41","LOGAN SQUARE",72791
"42","LOOP",29283
"43","LOWER WEST SIDE",35769
"44","MCKINLEY PARK",15612
"45","MONTCLARE",13485
"46","MORGAN PARK",22544
"47","MOUNT GREENWOOD",19093
"48","NEAR NORTH SIDE",4234
"49","NEAR SOUTH SIDE",21390
"50","NEAR WEST SIDE",54881
"51","NEW CITY",44311
"52","NORTH CENTER",2117
"53","NORTH LAWNDALE",35912
"54","NORTH PARK",17931
"55","NORWOOD PARK",36878
"56","OAKLAND",5918
"57","OHARE",12755
"58","PORTAGE PARK",64119
"59","PULLMAN",7325
"60","RIVERDALE",6482
"61","ROGERS PARK",5005
"62","ROSELAND",44619
"63","SOUTH CHICAGO",31198
"64","SOUTH DEERING",15109
"65","SOUTH LAWNDALE",79288
"66","SOUTH SHORE",52010
"67","UPTOWN",4247
"68","WASHINGTON HEIGHTS",26493
"69","WASHINGTON PARK",11717
"70","WEST ELSDON",18139
"71","WEST ENGLEWOOD",35505
"72","WEST GARFIELD PARK",18009
"73","WEST LAWN",33355
"74","WEST PULLMAN",29651
"75","WEST RIDGE",71942
"76","WEST TOWN",82236
"77","WOODLAWN",23740
